Title,Date
"Pokémon The Series: Indigo League: Season 1: The March of the Exeggutor Squad","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: Showdown at Dark City","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: Wake Up Snorlax!","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: The Battling Eevee Brothers","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: Pikachu's Goodbye","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: Ditto's Mysterious Mansion","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: The Bridge Bike Gang","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: Episode 54","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: Episode 53","2021-01-18"
"Pokémon The Series: Indigo League: Season 1: The Kangaskhan Kid","2021-01-17"
"Pokémon The Series: Indigo League: Season 1: The Flame Pokémon-Athon!","2021-01-17"
"Pokémon The Series: Indigo League: Season 1: The Ninja Poké-Showdown","2021-01-17"
"Pokémon The Series: Indigo League: Season 1: Dig Those Diglett!","2021-01-17"
"Pokémon Journeys: The Series: Dreams Are Made of These!","2021-01-17"
"Pokémon Journeys: The Series: A Talent for Imitation!","2021-01-17"
"Attack on Titan: Final Season: Declaration of War","2021-01-17"
"Pokémon Journeys: The Series: Destination: Coronation!","2021-01-17"
"Pokémon Journeys: The Series: Kicking It from Here Into Tomorrow!","2021-01-17"
"Pokémon Journeys: The Series: A Chilling Curse!","2021-01-16"
"Pokémon Journeys: The Series: A Snow Day for Searching!","2021-01-16"
"Pokémon Journeys: The Series: Raid Battle in The Ruins!","2021-01-16"
"Great Pretender: Season 1: Case 1_1: Los Angeles Connection","2021-01-16"
"Puella Magi Madoka Magica: Season 1: I First Met Her in a Dream... or Something","2021-01-10"
"Rent-a-Person Who Does Nothing: Season 1: Episode 1","2021-01-09"
"Puella Magi Madoka Magica: Season 1: My Very Best Friend","2021-01-09"
"Puella Magi Madoka Magica: Season 1: The Only Thing I Have Left to Guide Me","2021-01-09"
"Puella Magi Madoka Magica: Season 1: I Won't Rely on Anyone Anymore","2021-01-08"
"Puella Magi Madoka Magica: Season 1: I'd Never Allow That to Happen","2021-01-08"
"Puella Magi Madoka Magica: Season 1: I Was Stupid... So Stupid","2021-01-08"
"Puella Magi Madoka Magica: Season 1: Can You Face Your True Feelings?","2021-01-08"
"Puella Magi Madoka Magica: Season 1: This Just Can't Be Right","2021-01-07"
"Puella Magi Madoka Magica: Season 1: There's No Way I'll Ever Regret It","2021-01-06"
"Puella Magi Madoka Magica: Season 1: Miracles and Magic Are Real","2021-01-06"
"BEASTARS: Season 2: A Teen's Never-Ending Alarm","2021-01-06"
"Puella Magi Madoka Magica: Season 1: I'm Not Afraid of Anything Anymore","2021-01-05"
"Puella Magi Madoka Magica: Season 1: That Would Be Truly Wonderful","2021-01-05"
"Attack on Titan: Final Season: From One Hand to Another","2021-01-03"
"Attack on Titan: Final Season: The Door of Hope","2021-01-03"
"Attack on Titan: Final Season: Midnight Train","2021-01-03"
"Attack on Titan: Final Season: The Other Side of the Ocean","2021-01-03"
"Attack on Titan: Season 3 Part 2: The Other Side of the Wall","2021-01-03"
"Attack on Titan: Season 3 Part 2: Attack Titan","2021-01-03"
"Attack on Titan: Season 3 Part 2: That Day","2021-01-03"
"Attack on Titan: Season 3 Part 2: The Basement","2021-01-02"
"Attack on Titan: Season 3 Part 2: Midnight Sun","2021-01-02"
"Attack on Titan: Season 3 Part 2: Hero","2021-01-02"
"Attack on Titan: Season 3 Part 2: Perfect Game","2021-01-02"
"Attack on Titan: Season 3 Part 2: Descent","2021-01-02"
"Attack on Titan: Season 3 Part 2: Thunder Spears","2021-01-02"
"Attack on Titan: Season 3 Part 2: The Town Where Everything Began","2021-01-02"
"Attack on Titan: Season 3 Part 1: Night of the Battle to Retake the Wall","2021-01-02"
"Attack on Titan: Season 3 Part 1: Bystander","2021-01-02"
"Attack on Titan: Season 3 Part 1: Friends","2021-01-02"
"Attack on Titan: Season 3 Part 1: Ruler of the Walls","2021-01-02"
"Attack on Titan: Season 3 Part 1: Sin","2021-01-02"
"Attack on Titan: Season 3 Part 1: Old Story","2020-12-31"
"Attack on Titan: Season 3 Part 1: Pain","2020-12-31"
"Attack on Titan: Season 3 Part 1: Smoke Signal","2020-12-30"
"Attack on Titan: Season 2: Scream","2020-12-30"
"Attack on Titan: Season 2: Charge","2020-12-30"
"Attack on Titan: Season 2: Children","2020-12-30"
"Attack on Titan: Season 2: Opening","2020-12-30"
"Attack on Titan: Season 2: The Hunters","2020-12-30"
"Attack on Titan: Season 2: Close Combat","2020-12-30"
"Attack on Titan: Season 2: Warrior","2020-12-30"
"Attack on Titan: Season 2: Historia","2020-12-29"
"Attack on Titan: Season 2: Soldier","2020-12-29"
"Attack on Titan: Season 2: Southwestward","2020-12-29"
"Attack on Titan: Season 2: I'm Home","2020-12-29"
"Attack on Titan: Season 2: Beast Titan","2020-12-29"
"BoJack Horseman: Season 3: That Went Well","2020-12-28"
"KonoSuba: God's Blessing on This Wonderful World: KonoSuba: God's Blessing on This Wonderful World!: Explosion Magic for This Formidable Enemy!","2020-12-28"
"KonoSuba: God's Blessing on This Wonderful World: KonoSuba: God's Blessing on This Wonderful World!: A Panty Treasure in This Right Hand!","2020-12-28"
"KonoSuba: God's Blessing on This Wonderful World: KonoSuba: God's Blessing on This Wonderful World!: An Explosion for This Chuunibyo!","2020-12-28"
"KonoSuba: God's Blessing on This Wonderful World: KonoSuba: God's Blessing on This Wonderful World!: This Self Proclaimed Goddess and Reincarnation in Another World!","2020-12-28"
"Pipuru-Started marrying with AI: Season 1: Episode 1","2020-12-28"
"Pipuru-Started marrying with AI: Season 1: Episode 2","2020-12-28"
"Pokémon The Series: Indigo League: Season 1: Sparks Fly for Magnemite","2020-12-27"
"Pokémon The Series: Indigo League: Season 1: The Punchy Pokémon","2020-12-27"
"Tokyo Ghoul: Incubation","2020-12-27"
"I'm Thinking of Ending Things","2020-12-26"
"Tokyo Ghoul: Tragedy","2020-12-22"
"Sweet Home: Season 1: Episode 1","2020-12-22"
"It's Okay to Not Be Okay: Season 1: The Boy Who Fed On Nightmares","2020-12-19"
"Pokémon Journeys: The Series: The Climb to Be the Very Best!","2020-12-18"
"Pokémon The Series: Indigo League: Season 1: Pokémon Fashion Flash","2020-12-17"
"Pokémon The Series: Indigo League: Season 1: Hypno's Naptime","2020-12-17"
"Pokémon Journeys: The Series: Flash of the Titans!","2020-12-17"
"Pokémon Journeys: The Series: Best Friend… Worst Nightmare!","2020-12-17"
"Pokémon Journeys: The Series: A Test in Paradise!","2020-12-17"
"Pokémon Journeys: The Series: あの日の誓い! ジョウト地方のホウオウ伝説!!","2020-12-17"
"Pokémon Journeys: The Series: 負けるなポッチャマ! シンオウ地方の流氷レース!!","2020-12-17"
"Pokémon Journeys: The Series: 激闘のホウエン地方! 挑戦バトルフロンティア!!","2020-12-17"
"Pokémon Journeys: The Series: ポケモン大量ゲットだぜ! ミュウへの道!!","2020-12-17"
"Pokémon Journeys: The Series: カビゴン巨大化!? ダイマックスの謎!!","2020-12-17"
"Pokémon Journeys: The Series: Settling the Scorbunny!","2020-12-17"
"Pokémon Journeys: The Series: Ivysaur’s Mysterious Tower!","2020-12-17"
"The House Where the Mermaid Sleeps","2020-12-17"
"Pokémon Journeys: The Series: Legend? Go! Friends? Go!","2020-12-16"
"Pokémon Journeys: The Series: Enter Pikachu!","2020-12-16"
"Coffee & Vanilla: Season 1: Episode 10","2020-12-16"
"Coffee & Vanilla: Season 1: Episode 9","2020-12-16"
"Coffee & Vanilla: Season 1: Episode 7","2020-12-16"
"Coffee & Vanilla: Season 1: Episode 8","2020-12-16"
"Coffee & Vanilla: Season 1: Episode 6","2020-12-16"
"Coffee & Vanilla: Season 1: Episode 5","2020-12-14"
"Coffee & Vanilla: Season 1: Episode 4","2020-12-14"
"Coffee & Vanilla: Season 1: Episode 3","2020-12-14"
"Coffee & Vanilla: Season 1: Episode 2","2020-12-14"
"Coffee & Vanilla: Season 1: Episode 1","2020-12-13"
"Alice in Borderland: Season 1: Episode 2","2020-12-13"
"Alice in Borderland: Season 1: Episode 1","2020-12-13"
"Non Non Biyori: A New Transfer Student Came","2020-12-13"
"Life As A Girl: Episode 1","2020-12-13"
"My Little Monster: Season 1: Weird","2020-12-13"
"My Little Monster: Season 1: Sitting Next to Yoshida-kun","2020-12-13"
"Hey Sensei, Don't you know?: Season 1: Episode 1","2020-12-11"
"Fujoshi, Ukkari Gei ni Kokuru: Season 1: Episode 8","2020-12-11"
"Fujoshi, Ukkari Gei ni Kokuru: Season 1: Episode 1","2020-12-11"
"Fujoshi, Ukkari Gei ni Kokuru: Season 1: Episode 7","2020-12-11"
"Fujoshi, Ukkari Gei ni Kokuru: Season 1: Episode 6","2020-12-11"
"Fujoshi, Ukkari Gei ni Kokuru: Season 1: Episode 5","2020-12-09"
